Name,Message,TimeInSeconds
Mike,Can we split the payment?,2040
Steve,Thanks for the split pay option!,2060
Sarah,Doing the 2x $597 now.,2065
John,Just locked mine in! So excited!,2100
Lisa,Payment successful!,2115
Adam,I am officially in.,2120
Adam,Making money while running errands sounds perfect.,2150
Lisa,Yes I definitely need that ongoing cash flow.,2155
Steve,Is the 90 day support via email or a group?,2160
Steve,YouTube is definitely not going anywhere.,2175
John,Wait $15k just from AI shorts?!,2188
Anthony,$120 grand total is insane.,2195
John,Those case studies are insane.,2200
Sarah,A university student making 13.5k is blowing my mind.,2210
Mike,That 15k in two months is wild.,2215
Joseph,Michael hit $23k? Wow.,2220
Rebecca,Abeeb's story is so inspiring. Getting laid off is my biggest fear.,2228
Lisa,Hitting 10k for the first time would change my life.,2240
John,Filling out my details on the form right now.,2245
Rebecca,10k a month would change my life entirely.,2250
Adam,Is the split pay still available?,2250
Steve,Yes the 2x $597 is a lifesaver.,2252
Kundan,Just used the split pay option thanks!,2255
Anthony,Wait are you showing a video from your phone?,2268
Marie,Oh wow you can see the screen clearly.,2272
Mike,13 grand sitting right there on his dashboard.,2280
John,That live proof is everything I needed to see.,2285
Lisa,Okay I was on the fence but that video convinced me.,2290
Sarah,Snagging my spot now before it's gone.,2295
Adam,$997 is a tiny drop in the bucket compared to those results.,2305
Steve,Agreed it is totally worth it.,2310
Mike,Can we buy more than one account?,2310
Rebecca,This is exactly what I've been looking for.,2315
Joseph,Just submitted my order!,2425
Kundan,I am in! So hyped.,2428
Sam,Payment went through! Let's go.,2431
Mark,Got mine!,2433
Eric,I'm in!,2435
Amit,Just joined.,2438
Luan,Joined from Europe! Cannot wait.,2440
Nelson,Got my spot.,2443
Lisa,iSenior looks like such a smart niche.,2498
John,Can we pick our niche or do you pick the best one?,2505
Adam,14k euros is amazing.,2515
Steve,I'm filling out the split pay form now.,2650
Rebecca,Just got mine on the split pay.,2665
Anthony,I've wasted so much money on bad courses this feels like a breath of fresh air.,2820
Sarah,Yes doing the work once and getting paid forever is the goal.,2910
John,Please share the link!,3056
Andy,Link please.,3058
Anthony,Where's the link?,3060
Marie,Share the link. Sounds amazing.,3062
Adam,I am ready for this.,3070
Lisa,Yes I definitely need that shortcut.,3075
Steve,Wait another $1000 off?!,3086
John,live,3088
Lisa,live,3089
Adam,live,3090
Anthony,live,3091
Steve,live,3092
Rebecca,live,3093
Marie,live,3094
Andy,live,3095
Mike,live,3096
Sarah,live,3097
Joseph,live,3098
Mike,Only 4 left?!,3105
Sarah,Loading the order form right now!,3110
John,Filling out my details.,3115
Lisa,Guys hurry up if you're on the fence.,3115
Lisa,This is exactly what I've been waiting for.,3120
Ronnie,Guys $997 is an absolute steal do it.,3158
Adam,Did the split pay 2x $597 thanks for that option!,3175
Steve,Payment successful!,3180
Rebecca,I'm officially a YouTube partner lol,3195
Maureen,Just secured mine!! Was worried I'd miss it.,3250
John,Congrats Maureen!,3262
Lisa,Are there any accounts left at all?,3280
Steve,Let's see what Google says...,3300
Adam,12 to 16 months of grinding? No thank you.,3310
Lisa,60 months median time... wow.,3315
John,Saving a year of hard work is easily worth $997.,3325
Rebecca,Time is money.,3330
Adam,Saving a year of grinding is worth $997 easily.,3345
Steve,Yeah Google says 15 months on average to monetize... no thanks.,3355
Mike,Just got my welcome email! That was so fast.,3355
Anthony,Just got the welcome email! So fast.,3410
Anthony,Are there still 2 left?,3510
Sarah,Trying to get my card to go through!,3515
Joseph,Best investment I've made this year.,3550
Mike,Thanks for the amazing webinar.,3600
Lisa,Can't wait to check my channel.,3615
Adam,Let's get to work guys.,3620
Sarah,Thanks Russell and team.,3650
Mike,Snagging the last one hopefully!,3662
Karen,I got it!!,3698
Lisa,Welcome Karen!,3702
John,Thanks for this awesome training.,3720
Adam,Let's get to work guys.,3730
Steve,Thanks Russell and team.,3740
Rebecca,Can't wait to check my new channel.,3745
